part_a,part_b,score,bbox_gap,contact_length,draw_order_gap,shared_chain_depth,chain_a,chain_b,physics_a,physics_b
clothes,hair_front_C,76.642,40.0,0,491.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
neck_under,hair_front_R,75.142,0.0,30,503.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
neck_under,hair_front_L,74.843,0.0,36,501.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
clothes,hair_front_L,74.692,0.0,39,490.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
neck_under,hair_front_C,67.392,0.0,185,502.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
clothes,hair_front_R,65.642,0.0,290,492.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1
neck_under,mouth_state_wide,60.473,77.0,0,217.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0
hair_back_L,neck_skin,54.84,0.0,97,111.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp>neck_warp,1,0
hair_back_R,neck_skin,54.8,0.0,97,110.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp>neck_warp,1,0
clothes,face_base,54.776,60.0,0,107.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp,0,0
shoulder_hair,hair_front_C,54.139,92.0,0,489.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,1,1
shoulder_hair,hair_front_R,54.139,50.0,0,490.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,1,1
neck_under,neck_skin,53.943,0.0,39,12.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0
neck_skin,shoulder_hair,53.19,0.0,42,1.0,1,root_warp>upper_warp>head_angle_warp>neck_warp,root_warp>back_hair_warp,0,1
hair_back_L,neck_under,52.652,0.0,84,99.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_R,neck_under,52.612,0.0,84,98.0,1,root_warp>back_hair_warp,root_warp>body_warp,1,0
hair_back_L,R_ear_outer,52.333,0.0,137,215.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp,1,0
hair_back_R,L_ear_outer,52.283,0.0,138,215.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp,1,0
clothes,neck_skin,50.753,0.0,94,1.0,1,root_warp>body_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0
hair_back_L,face_base,48.263,0.0,356,217.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp,1,0
hair_back_R,face_base,48.223,0.0,361,216.0,1,root_warp>back_hair_warp,root_warp>upper_warp>head_angle_warp,1,0
