part_id,folder,draw_order,primary_deformer,deformer_chain,direct_binding_count,physics_profile_count,bbox,vertex_count,triangle_count
L_arm,Body,220,body_warp,root_warp>body_warp,0,0,"[1321, 1165, 337, 883]",20,24
L_brow,Face,540,head_angle_warp,root_warp>upper_warp>head_angle_warp,2,0,"[1099, 534, 174, 36]",20,24
L_ear_outer,Face,316,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1229, 605, 138, 195]",20,24
L_eye_white,Eye,500,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1109, 613, 147, 103]",20,24
L_iris,Eye,510,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,4,0,"[1124, 622, 89, 90]",20,24
L_upper_lash,Eye,530,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1097, 597, 188, 117]",20,24
R_arm,Body,220,body_warp,root_warp>body_warp,0,0,"[387, 1164, 331, 884]",20,24
R_brow,Face,540,head_angle_warp,root_warp>upper_warp>head_angle_warp,2,0,"[769, 537, 177, 34]",20,24
R_ear_outer,Face,315,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[670, 605, 137, 194]",20,24
R_eye_white,Eye,500,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[787, 613, 145, 104]",20,24
R_iris,Eye,510,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,4,0,"[831, 622, 88, 91]",20,24
R_upper_lash,Eye,530,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[760, 596, 186, 117]",20,24
choker,Body,230,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,1,"[0, 0, 4, 4]",20,24
clothes,Body,210,body_warp,root_warp>body_warp,0,1,"[518, 1055, 1009, 993]",81,127
ear_inner,Face,605,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
eye_L_blink,Eye,536,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1083, 494, 199, 284]",240,390
eye_L_smile,Eye,538,eye_L_warp,root_warp>upper_warp>head_angle_warp>eye_L_warp,0,0,"[1083, 494, 199, 284]",240,390
eye_R_blink,Eye,537,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[761, 493, 197, 286]",240,390
eye_R_smile,Eye,539,eye_R_warp,root_warp>upper_warp>head_angle_warp>eye_R_warp,0,0,"[761, 493, 197, 286]",240,390
face_base,Face,317,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[721, 263, 603, 732]",81,127
hair_back_L,Hair,100,back_hair_warp,root_warp>back_hair_warp,0,1,"[307, 23, 770, 1939]",36,45
hair_back_R,Hair,101,back_hair_warp,root_warp>back_hair_warp,0,1,"[963, 25, 771, 1937]",36,48
hair_front_C,Hair,701,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[850, 118, 347, 897]",36,42
hair_front_L,Hair,700,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[675, 120, 289, 974]",36,46
hair_front_R,Hair,702,front_hair_warp,root_warp>upper_warp>head_angle_warp>front_hair_warp,0,1,"[1083, 122, 290, 935]",36,45
mouth_line,Mouth,410,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[946, 819, 149, 103]",20,24
mouth_state_mid,Mouth,414,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[975, 864, 91, 42]",20,24
mouth_state_small,Mouth,412,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[978, 865, 85, 33]",20,24
mouth_state_wide,Mouth,416,mouth_warp,root_warp>upper_warp>head_angle_warp>mouth_warp,0,0,"[972, 849, 95, 81]",20,24
neck,Body,200,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0,"[0, 0, 4, 4]",20,24
neck_skin,Body,211,neck_warp,root_warp>upper_warp>head_angle_warp>neck_warp,0,0,"[894, 1052, 252, 97]",81,128
neck_under,Body,199,body_warp,root_warp>body_warp,0,0,"[928, 1007, 185, 84]",20,24
nose_reference,Face,415,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[1001, 756, 23, 37]",20,24
raw_bottomwear,Face,205,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
raw_eyewear,Eye,620,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
raw_footwear,Face,203,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
raw_legwear,Face,204,head_angle_warp,root_warp>upper_warp>head_angle_warp,0,0,"[0, 0, 4, 4]",20,24
shoulder_hair,Hair,212,back_hair_warp,root_warp>back_hair_warp,0,1,"[580, 1107, 946, 863]",36,27
