parameter,present,project_has_parameter,min,max,span,rig_min,rig_max,range_violations
ParamAngleX,1,1,-1.386768,30.0,31.386768,-30.0,30.0,0
ParamAngleY,1,1,-0.675062,6.598117,7.273179,-30.0,30.0,0
ParamAngleZ,1,1,-30.0,6.872167,36.872167,-30.0,30.0,0
ParamBodyAngleX,1,1,-0.300466,6.5,6.800466,-10.0,10.0,0
ParamBodyAngleY,1,1,-0.101259,0.989718,1.090977,-10.0,10.0,0
ParamBodyAngleZ,1,1,-5.0,1.145361,6.145361,-10.0,10.0,0
ParamBreath,1,1,6e-06,0.999995,0.999989,0.0,1.0,0
ParamEyeBallX,1,1,-0.29626,0.755059,1.051319,-1.0,1.0,0
ParamEyeBallY,1,1,-0.534765,0.037716,0.572482,-1.0,1.0,0
ParamEyeLOpen,1,1,0.403766,0.942261,0.538495,0.27,1.0,0
ParamEyeROpen,1,1,0.468647,0.990802,0.522155,0.27,1.0,0
ParamMouthForm,1,1,-0.250626,0.855198,1.105825,-1.0,1.0,0
ParamMouthOpenY,1,1,0.0,1.0,1.0,0.0,1.0,0
