parameter,present,project_has_parameter,min,max,span,rig_min,rig_max,range_violations
ParamAngleX,1,1,-1.386768,25.321511,26.708279,-30.0,30.0,0
ParamAngleY,1,1,-0.614396,2.421376,3.035772,-30.0,30.0,0
ParamAngleZ,1,1,-30.0,6.864115,36.864115,-30.0,30.0,0
ParamBodyAngleX,1,1,-0.300466,5.486327,5.786794,-10.0,10.0,0
ParamBodyAngleY,1,1,-0.092159,0.363206,0.455366,-10.0,10.0,0
ParamBodyAngleZ,1,1,-5.0,1.144019,6.144019,-10.0,10.0,0
ParamBreath,1,1,0.197471,0.999994,0.802523,0.0,1.0,0
ParamEyeBallX,1,1,-0.10215,0.755059,0.857209,-1.0,1.0,0
ParamEyeBallY,1,1,-0.340107,0.010655,0.350762,-1.0,1.0,0
ParamEyeLOpen,1,1,0.777662,0.942261,0.164599,0.27,1.0,0
ParamEyeROpen,1,1,0.759038,0.93041,0.171372,0.27,1.0,0
ParamMouthForm,1,1,-0.037386,0.814228,0.851614,-1.0,1.0,0
ParamMouthOpenY,1,1,0.0,0.253706,0.253706,0.0,1.0,0
